Agency,State,Population,Violent Crime rate,Murder,Rape,Robbery,Assault,Property,Burglary,Larceny,Vehicular,Year
New Haven Police Dept,CT,124968.0,1735.6,9.6,108.0,905.0,713.0,9863.3,2780.7,5591.0,1491.6,1985
New Orleans Police Dept,LA,561364.0,1464.6,27.1,80.3,737.8,619.4,7216.4,1849.6,4174.3,1192.5,1985
New York City Police Dept,NY,7183984.0,1881.3,19.3,54.0,1107.1,700.9,6491.0,1737.7,3647.7,1105.6,1985
Newark Police Dept,NJ,316356.0,3077.5,37.0,187.8,1681.6,1171.1,9186.5,1916.2,3859.6,3410.7,1985
Newport News Police Dept,VA,156545.0,483.6,8.9,50.5,159.1,265.1,4180.3,1241.8,2713.6,224.9,1985
Norfolk Police Dept,VA,283219.0,728.8,13.4,62.8,327.7,324.8,5777.5,1278.2,4088.0,411.3,1985
Oakland Police Dept,CA,362095.0,1851.2,26.2,146.6,915.8,762.5,9975.3,3271.5,5762.6,941.2,1985
Odessa Police Dept,TX,111282.0,329.8,9.9,43.1,79.1,197.7,8191.8,2452.3,5310.8,428.6,1985
Oklahoma City Police Dept,OK,443575.0,975.7,13.8,109.3,357.3,495.3,10213.6,3320.7,5480.9,1411.9,1985
Omaha Police Dept,NE,362883.0,688.4,6.6,59.0,162.9,459.9,5572.6,1309.2,3934.9,328.5,1985
Ontario Police Dept,CA,109354.0,915.4,7.3,62.2,266.1,579.8,6179.9,2291.6,3320.4,567.9,1985
Orange Police Dept,CA,101277.0,449.3,4.9,22.7,198.5,223.2,5286.5,1546.3,3196.2,544.1,1985
Oxnard Police Dept,CA,124665.0,575.9,5.6,53.7,255.9,260.7,5658.4,1743.1,3458.1,457.2,1985
Orlando Police Dept,FL,142025.0,2063.7,16.9,108.4,635.1,1303.3,9287.8,2824.2,5848.3,615.4,1985
Pasadena Police Dept,CA,128644.0,1156.7,22.5,45.1,547.2,541.8,7610.9,2076.3,4689.7,845.0,1985
Pasadena Police Dept,TX,122148.0,578.0,8.2,58.9,115.4,395.4,4991.5,1270.6,3025.0,695.9,1985
Paterson Police Dept,NJ,139688.0,1306.5,20.8,27.2,849.8,408.8,6417.9,2101.8,3013.1,1302.9,1985
Peoria Police Dept,IL,117362.0,,3.4,,173.0,721.7,6454.4,1596.8,4699.1,158.5,1985
Philadelphia Police Dept,PA,1640102.0,988.3,16.6,62.3,572.0,337.4,4113.0,1158.9,2183.7,770.4,1985
Phoenix Police Dept,AZ,890746.0,844.3,10.0,71.3,272.2,490.8,8420.1,2620.9,5247.6,551.6,1985
Pittsburgh,PA,400969.0,1085.6,8.5,46.9,752.2,278.1,6129.7,1806.4,2635.9,1687.4,1985
Pomona Police Dept,CA,110079.0,1736.9,21.8,78.1,764.9,872.1,7079.5,2658.1,3653.7,767.6,1985
Portland Police Dept,OR,367571.0,2348.9,11.7,127.6,954.4,1255.3,14587.9,4665.2,9001.3,921.5,1985
Providence Police Dept,RI,155125.0,1132.0,9.0,69.6,521.5,531.8,8744.6,2610.2,4215.3,1919.1,1985
Pueblo Police Dept,CO,101641.0,836.3,4.9,68.9,137.7,624.7,6388.2,1671.6,4491.3,225.3,1985
Raleigh Police Dept,NC,171814.0,602.4,7.6,33.2,178.7,383.0,5380.8,1199.6,3782.0,399.3,1985
Reno Police Dept,NV,108537.0,797.0,8.3,76.5,390.7,321.5,8723.3,2567.8,5539.1,616.4,1985
Richmond (City) Bureau Of Police,VA,221857.0,1193.1,41.5,96.0,487.3,568.4,6738.1,1941.3,4337.0,459.8,1985
Riverside Police Dept,CA,187526.0,997.2,7.5,52.3,309.3,628.2,7368.6,2439.1,4411.1,518.3,1985
Rochester Police Dept,NY,243212.0,1219.9,10.7,59.6,440.8,708.8,8027.6,2398.3,5149.0,480.2,1985
Rockford Police Dept,IL,136822.0,,4.4,,277.7,491.9,8433.6,2886.2,5276.9,270.4,1985
Sacramento Police Dept,CA,312944.0,1176.2,12.5,66.8,665.6,431.4,9658.9,3187.5,5539.0,932.4,1985
St. Louis Police Dept,MO,431109.0,2004.6,39.2,89.1,727.4,1148.9,9387.6,3131.0,4961.6,1295.0,1985
St. Paul Police Dept,MN,267896.0,782.0,6.3,87.0,240.8,447.9,7002.3,2511.8,4069.1,421.4,1985
Salt Lake City Police Dept,UT,164216.0,659.5,8.5,60.3,271.6,319.1,10933.2,2437.0,7843.9,652.2,1985
San Antonio Police Dept,TX,862878.0,625.0,20.9,95.5,310.9,197.7,9062.5,2842.9,5349.9,869.6,1985
San Bernardino Police Dept,CA,134170.0,1675.5,12.7,77.5,775.9,809.4,9505.1,3349.5,5157.6,998.0,1985
San Diego Police Dept,CA,988284.0,632.4,9.7,34.2,309.8,278.7,6237.4,1655.7,3563.8,1017.9,1985
San Francisco Police Dept,CA,733456.0,1295.5,11.6,69.8,696.8,517.3,6692.7,1603.0,4280.7,809.0,1985
San Jose Police Dept,CA,706062.0,491.5,7.8,58.8,175.2,249.7,5205.5,1325.5,3446.0,434.0,1985
Santa Ana Police Dept,CA,231937.0,671.7,14.2,25.4,372.9,259.1,9011.5,2197.6,5816.2,997.7,1985
Savannah Police Dept,GA,148460.0,716.7,26.3,87.6,383.9,218.9,7372.4,2216.8,4856.5,299.1,1985
Scottsdale Police Dept,AZ,103868.0,253.2,6.7,17.3,93.4,135.7,6088.5,1562.6,4215.0,311.0,1985
Seattle Police Dept,WA,495190.0,1317.3,12.3,89.1,574.1,641.8,11425.7,3284.0,7579.7,562.0,1985
Shreveport Police Dept,LA,220888.0,792.3,21.7,56.6,251.7,462.2,8427.8,2174.4,5917.9,335.5,1985
South Bend Police Dept,IN,107125.0,621.7,8.4,54.1,296.8,262.3,8333.3,2590.4,5414.2,328.6,1985
Spokane Police Dept,WA,175732.0,530.9,5.1,35.9,175.8,314.1,7925.7,2160.1,5420.8,344.8,1985
Springfield Police Dept,IL,101786.0,,12.8,,231.9,498.1,7514.8,2194.8,5067.5,252.5,1985
Springfield Police Dept,MA,151090.0,1221.8,11.9,70.2,250.8,888.9,4022.1,1496.5,1855.8,669.8,1985
Springfield Police Dept,MO,137516.0,222.5,4.4,39.3,79.3,99.6,6751.9,1576.5,4892.5,282.9,1985
Stamford Police Dept,CT,102557.0,486.6,4.9,15.6,266.2,199.9,5478.9,1199.3,3683.8,595.8,1985
Sterling Heights Police Dept,MI,109602.0,278.3,6.4,17.3,58.4,196.2,4465.2,931.6,2985.3,548.3,1985
